source,fetched_at,term,url,title,text,author,region,category
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMijAFBVV95cUxPTF9OWXVLVm45b3lWWVZfVXhSMmpZdEliSm9TQk01eHB3WVlfYVpFVXB6cXptMUdZNVZWY1FpREtXd0pDNDlnejU3WkFYNFFENVM5SUdWb3phSU5YSHFUUG9LMldjcU5SLXZTRnVoR0liM2tLcnE1YS1SVF9oOUlEV0FPelJPNHJ5SWI2OdIBkgFBVV95cUxQeTJjRWZndGdzcXlCN3pYUWtVY1oyQXFzem9rOHE0bEpNTU5EVkNDM3VkX0oxY3pEU2N6b3pWWVpjb3laTTNMRFhyQm1IbkZkbWJVUFp1YU54VE50Y2NEcnVLMTVOWXFlYkR3ak50ZUxiaktESWE0MjNDa2U0UUt3MURKOXNNU3JGR1U3azBuRlRiQQ?oc=5,Apple's iPhone Air doesn't look like a bestseller. It might not matter - CNBC,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPTF9OWXVLVm45b3lWWVZfVXhSMmpZdEliSm9TQk01eHB3WVlfYVpFVXB6cXptMUdZNVZWY1FpREtXd0pDNDlnejU3WkFYNFFENVM5SUdWb3phSU5YSHFUUG9LMldjcU5SLXZTRnVoR0liM2tLcnE1YS1SVF9oOUlEV0FPelJPNHJ5SWI2OdIBkgFBVV95cUxQeTJjRWZndGdzcXlCN3pYUWtVY1oyQXFzem9rOHE0bEpNTU5EVkNDM3VkX0oxY3pEU2N6b3pWWVpjb3laTTNMRFhyQm1IbkZkbWJVUFp1YU54VE50Y2NEcnVLMTVOWXFlYkR3ak50ZUxiaktESWE0MjNDa2U0UUt3MURKOXNNU3JGR1U3azBuRlRiQQ?oc=5"" target=""_blank"">Apple's iPhone Air doesn't look like a bestseller. It might not matter</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMimgFBVV95cUxPU0IyNl9HOTR1dy1zMU5jMWU5ZjNRUXJVbzlDRF9ySGFtcmZkU09pWnRNb1AxMVlXVi1XTUFMeVRzdWlCZzhiazU1amhJSXJqVGN1aXFTR2tXVEhnVmxWdlcxRm93U1lzY29seE5BdWVYZ0w0X0dQU1ZER2ZxLUdZZXlWbGtkQjlFQXNxQkphbS1fcU53T2lpVGNR?oc=5,iPhone Air production change orders may not be true - AppleInsider,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPU0IyNl9HOTR1dy1zMU5jMWU5ZjNRUXJVbzlDRF9ySGFtcmZkU09pWnRNb1AxMVlXVi1XTUFMeVRzdWlCZzhiazU1amhJSXJqVGN1aXFTR2tXVEhnVmxWdlcxRm93U1lzY29seE5BdWVYZ0w0X0dQU1ZER2ZxLUdZZXlWbGtkQjlFQXNxQkphbS1fcU53T2lpVGNR?oc=5"" target=""_blank"">iPhone Air production change orders may not be true</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AppleInsider</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMicEFVX3lxTE1tMkl1VEFTVGNDdURQcXJpRHc1ZEpBeHktcDdxeElLVjFaNjVacmRra0Z1RUc0X200SnFRSFpfQ2JyM0VkQnJHYUZhTU1ET19OSzhkWFQxR2hVcXhnc0dPaXNwQ1BjVzI4d1Fpb2M4Y2g?oc=5,"The Best iPhone Case for iPhone 17, 17 Plus, 17 Pro, 17 Pro Max, and iPhone Air - The New York Times","<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE1tMkl1VEFTVGNDdURQcXJpRHc1ZEpBeHktcDdxeElLVjFaNjVacmRra0Z1RUc0X200SnFRSFpfQ2JyM0VkQnJHYUZhTU1ET19OSzhkWFQxR2hVcXhnc0dPaXNwQ1BjVzI4d1Fpb2M4Y2g?oc=5"" target=""_blank"">The Best iPhone Case for iPhone 17, 17 Plus, 17 Pro, 17 Pro Max, and iPhone Air</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMinAFBVV95cUxNX2trZm1yQTNualg5X1Y4d0NqdENhMlRuYVprVl9IQzNOV25hS3kwYXBvaWRpeWthRHNtUUdNc25JVENoYlpyVmhkR0R6X1c0NE4ydGlJYkdzbkFtN2xnSUxDTldPWHk5MkJZY0lkTlFNWVBUS1pQS0Y5Z1BNZXBnNXc3N0V3Z0dsTE5oSmZXazlRcTBaeHl1c2lwU28?oc=5,"So it looks like the iPhone Air is a flop. Well, duh - Macworld","<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxNX2trZm1yQTNualg5X1Y4d0NqdENhMlRuYVprVl9IQzNOV25hS3kwYXBvaWRpeWthRHNtUUdNc25JVENoYlpyVmhkR0R6X1c0NE4ydGlJYkdzbkFtN2xnSUxDTldPWHk5MkJZY0lkTlFNWVBUS1pQS0Y5Z1BNZXBnNXc3N0V3Z0dsTE5oSmZXazlRcTBaeHl1c2lwU28?oc=5"" target=""_blank"">So it looks like the iPhone Air is a flop. Well, duh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Macworld</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMidEFVX3lxTE1mbFpOTm4yWjdqMC0tazQwanUxNjNhckVXbnVpV1E2M01nZjAzZ29Jcld1UEt0cDFsWTdIcVEtaHVScGphZTVnTG5NUUswYUpmdHhZSFFBb3ltWVdpSE9uZHJGTmJDYTgzaUlPSl91SVN2RkZY?oc=5,iPhone 17 matches iPhone Air display performance in DXOMARK test - 9to5Mac,"<a href=""https://news.google.com/rss/articles/CBMidEFVX3lxTE1mbFpOTm4yWjdqMC0tazQwanUxNjNhckVXbnVpV1E2M01nZjAzZ29Jcld1UEt0cDFsWTdIcVEtaHVScGphZTVnTG5NUUswYUpmdHhZSFFBb3ltWVdpSE9uZHJGTmJDYTgzaUlPSl91SVN2RkZY?oc=5"" target=""_blank"">iPhone 17 matches iPhone Air display performance in DXOMARK test</a>&nbsp;&nbsp;<font color=""#6f6f6f"">9to5Mac</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMijwFBVV95cUxOY3lqTkgtYUpJYnhjY1RsRVJIWEQzTmY5Y0dUQUpLRWRWRjJWS1VfZWw4VE56LWgyYnM1Uy1yenhVRnpiS0VkYmU0ZFp0ME1KLVVBcXc5S1VFcWoxUWFsTWZFdy1uaHBmWWNFQzAzOTVYNS1vOEtWQnBOdTZzVGV1ZjFPU0docEhxaWkxLTdwWdIBiwFBVV95cUxOVWVlQkpDNlNxLUJORjVMTk5VUEZOS2JGZ05OMGtON3VMSGFBNC1TRUNuOUNxbUNmUkx6TUtYNVg0dFRvSEtETVczZ1gxUzEySHZEYmpJVXVRZmdmNGVWa3RXNVhZcjQwRjJBckZHSG50X2FZZjJ0cEZBVDdZcU1qR2JjMFJtdG9fVG9v?oc=5,New report claims Apple hasn't cut iPhone Air production - GSMArena.com news - GSMArena.com,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxOY3lqTkgtYUpJYnhjY1RsRVJIWEQzTmY5Y0dUQUpLRWRWRjJWS1VfZWw4VE56LWgyYnM1Uy1yenhVRnpiS0VkYmU0ZFp0ME1KLVVBcXc5S1VFcWoxUWFsTWZFdy1uaHBmWWNFQzAzOTVYNS1vOEtWQnBOdTZzVGV1ZjFPU0docEhxaWkxLTdwWdIBiwFBVV95cUxOVWVlQkpDNlNxLUJORjVMTk5VUEZOS2JGZ05OMGtON3VMSGFBNC1TRUNuOUNxbUNmUkx6TUtYNVg0dFRvSEtETVczZ1gxUzEySHZEYmpJVXVRZmdmNGVWa3RXNVhZcjQwRjJBckZHSG50X2FZZjJ0cEZBVDdZcU1qR2JjMFJtdG9fVG9v?oc=5"" target=""_blank"">New report claims Apple hasn't cut iPhone Air production - GSMArena.com news</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GSMArena.com</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPbDNtSXpsWjNiaHZrQmpWT0loT1l6WDA1cVdWSHRvcnowQ1ktR1dYQVFianZOdHk3bDVQSW10OGJadHpSM2NiOUUtSlFBSm42UThHRFh3aFZ4NHVucUl0eUp0a3lrNHViTlBsU1VBZ0o5RGVmdThhRWVGd1JvSXVCb1BsSk42NG1wT25jd2ZxLWNTOUNSWlBvTzZRSU1xWEJIem14WGVLWnpZVVk?oc=5,Both real-life and lab tests suggest iPhone Air battery lasts a typical day - 9to5Mac,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPbDNtSXpsWjNiaHZrQmpWT0loT1l6WDA1cVdWSHRvcnowQ1ktR1dYQVFianZOdHk3bDVQSW10OGJadHpSM2NiOUUtSlFBSm42UThHRFh3aFZ4NHVucUl0eUp0a3lrNHViTlBsU1VBZ0o5RGVmdThhRWVGd1JvSXVCb1BsSk42NG1wT25jd2ZxLWNTOUNSWlBvTzZRSU1xWEJIem14WGVLWnpZVVk?oc=5"" target=""_blank"">Both real-life and lab tests suggest iPhone Air battery lasts a typical day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">9to5Mac</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQ2x1LVNTNEQxVU9mT0x6b3JxV3dKQnZGOXdISnIzWGhLa3FwZkdWekY0bFhtWE9WX2x5SHhIRWpScGVNTFowTTBCNjd2bVJrLVJxTVFjdGxOTWdEUjFjbzN4N2RrMEZSQm8wOWZMZWZ6VmRUM1BQNmRMVWVOWWk0c25mZThGZFdNUHF2TGxQMTZ2MG84dFpMUGdSR1Z4ZzhBMjRkTF93aGZ1THZEbzdfWXdlRzY5ZVMwbktMc1MyY1J5RWpsOXo0VkcyelRQY0pha05xRUpJTXM?oc=5,"Apple iPhone 17, iPhone Air and iPhone 17 Pro Max fail to make top 20 in DxOMark display analysis - Notebookcheck","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPQ2x1LVNTNEQxVU9mT0x6b3JxV3dKQnZGOXdISnIzWGhLa3FwZkdWekY0bFhtWE9WX2x5SHhIRWpScGVNTFowTTBCNjd2bVJrLVJxTVFjdGxOTWdEUjFjbzN4N2RrMEZSQm8wOWZMZWZ6VmRUM1BQNmRMVWVOWWk0c25mZThGZFdNUHF2TGxQMTZ2MG84dFpMUGdSR1Z4ZzhBMjRkTF93aGZ1THZEbzdfWXdlRzY5ZVMwbktMc1MyY1J5RWpsOXo0VkcyelRQY0pha05xRUpJTXM?oc=5"" target=""_blank"">Apple iPhone 17, iPhone Air and iPhone 17 Pro Max fail to make top 20 in DxOMark display analysis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Notebookcheck</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNaWZqLVRsd0pkUERqLWxMazBUcmMwb1FsOGVmcFJKcENNc1dQR1Q3V1g0Wm9fY0s5TDJYS1d2eVBrcGhQczBoeFpyeVFxbVp0Yy1YaERtLUlnNUlFUkFnclVrb05KY3N2bGpYVnJpUHFycUY3U3RqdHZhRmhUSDc4dllaRjVHdHYtUWNodHR2eGV0TUFjQzBTbFdKYXBfaWxiSXViYVVnZ08?oc=5,iPhone 17 review: the Apple smartphone to get this year - The Guardian,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxNaWZqLVRsd0pkUERqLWxMazBUcmMwb1FsOGVmcFJKcENNc1dQR1Q3V1g0Wm9fY0s5TDJYS1d2eVBrcGhQczBoeFpyeVFxbVp0Yy1YaERtLUlnNUlFUkFnclVrb05KY3N2bGpYVnJpUHFycUY3U3RqdHZhRmhUSDc4dllaRjVHdHYtUWNodHR2eGV0TUFjQzBTbFdKYXBfaWxiSXViYVVnZ08?oc=5"" target=""_blank"">iPhone 17 review: the Apple smartphone to get this year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font>",,,
Google RSS,2025-10-29T23:50:35.405680,iphone 17 air,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQOC1QUVJBY1pJR3BFWHdEZHJBemhMbHN3dGc5RFd2TFBfVWhTUENqbUx3bTY4bGd6RDBBRmxmLXduSkxJdWd2UGpHZ295SXFYU1l2b0JRNGJhLVJRZWptN3h2enpJY2dFVXhTR1plTm1McjRmYmpWZmNMeUFCN3RGejBYbjdkQzlGT2tWb1RLa1RuN3VQWm03MlM1ZVk5LU4tYlpqbGw4T0wyX0N1MGxDcGNORjdzSF9iZF9R?oc=5,"Apple slashes iPhone Air production plans, boosts other 17 models: sources - Nikkei Asia","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQOC1QUVJBY1pJR3BFWHdEZHJBemhMbHN3dGc5RFd2TFBfVWhTUENqbUx3bTY4bGd6RDBBRmxmLXduSkxJdWd2UGpHZ295SXFYU1l2b0JRNGJhLVJRZWptN3h2enpJY2dFVXhTR1plTm1McjRmYmpWZmNMeUFCN3RGejBYbjdkQzlGT2tWb1RLa1RuN3VQWm03MlM1ZVk5LU4tYlpqbGw4T0wyX0N1MGxDcGNORjdzSF9iZF9R?oc=5"" target=""_blank"">Apple slashes iPhone Air production plans, boosts other 17 models: sources</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nikkei Asia</font>",,,
